player_id,player_name,school,conference,program_tier,position,class_year,week_number,game_date,games_played,currently_injured,ppg,apg,rpg,spg,bpg,mpg,fg_pct,three_pt_pct,ft_pct,social_media_followers,engagement_rate,market_size_score,performance_score,nil_valuation_usd,nil_probability_score,nil_tier
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,4,2024-11-30,0,True,12.91,1.59,6.77,0.4,1.3,29.3,0.5724,0.1529,0.5741,6871,0.052,6,0.5291,190592.73,0.004460987645681035,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,5,2024-12-06,3,False,13.48,1.55,5.96,0.5,1.46,33.91,0.5206,0.1167,0.5652,7932,0.0572,6,0.5325,205442.39,0.004808554954440686,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,6,2024-12-09,5,False,13.13,1.65,6.02,0.41,1.31,34.63,0.5522,0.0928,0.5486,6529,0.0494,6,0.5347,264454.74,0.006189782785453828,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,7,2024-12-20,7,False,12.97,1.37,5.38,0.41,1.16,33.45,0.5453,0.125,0.589,16785,0.0528,6,0.5196,225557.95,0.005279374559293142,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,8,2024-12-28,9,False,11.16,1.58,5.07,0.41,1.66,30.76,0.5754,0.1014,0.5718,6146,0.0788,6,0.4857,174820.14,0.004091818475580881,low
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,9,2024-12-31,10,False,12.49,1.4,5.71,0.49,1.72,31.13,0.5314,0.1292,0.5825,31446,0.0521,6,0.5058,321626.15,0.007527922050035966,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,10,2025-01-12,12,False,10.69,1.63,5.45,0.19,1.2,32.9,0.5779,0.1746,0.6498,16341,0.0373,6,0.5142,242875.78,0.005684711217954497,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,11,2025-01-15,12,True,13.72,1.54,5.49,0.28,1.07,30.35,0.5556,0.1689,0.5802,24579,0.0612,6,0.5272,147515.12,0.0034527242258116314,low
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,12,2025-01-22,15,False,13.56,1.58,5.49,0.47,1.27,33.32,0.5456,0.0941,0.545,13902,0.0677,6,0.5238,246530.26,0.005770247033489393,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,13,2025-01-31,17,False,13.77,1.59,6.44,0.52,1.16,27.53,0.5983,0.1678,0.5725,9484,0.0495,6,0.5321,202107.0,0.0047304876770778445,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,14,2025-02-04,19,False,12.82,1.79,5.63,0.61,0.99,31.74,0.5359,0.0942,0.555,9657,0.0509,6,0.5117,234870.19,0.0054973344449285,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,15,2025-02-12,22,False,13.65,1.61,6.32,0.45,1.26,31.18,0.5631,0.1291,0.5499,13243,0.0787,6,0.5349,365965.89,0.008565726558886846,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,16,2025-02-22,24,False,12.79,1.75,5.17,0.35,0.97,31.38,0.5304,0.1115,0.5551,11370,0.0553,6,0.506,347667.43,0.00813743752757932,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,17,2025-02-24,27,False,10.95,1.43,5.77,0.83,1.21,31.12,0.5764,0.1356,0.5676,10997,0.0372,6,0.4988,212852.91,0.004982003672654403,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,18,2025-03-03,29,False,11.24,1.32,4.86,0.28,1.29,27.48,0.6093,0.164,0.5866,6977,0.0516,6,0.4808,182299.52,0.0042668789131795025,mid
0c0e00da-99c9-c0f5-7ce1-3176c363a9c5,Allison Hill,Baylor,Big 12,3,C,JR,19,2025-03-15,32,False,9.5,1.6,5.5,0.23,1.23,30.83,0.5583,0.1174,0.5744,9931,0.069,6,0.4748,149022.37,0.003488002530239337,low
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,1,2024-11-09,1,False,12.18,4.99,3.21,1.4,0.0,24.39,0.3923,0.347,0.8672,64233,0.0582,6,0.53,476229.6,0.0033002523917625677,mid
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,2,2024-11-12,2,False,12.92,4.15,3.13,1.42,0.4,31.56,0.37,0.3452,0.8442,13862,0.0449,6,0.5551,506517.17,0.003510143619527387,mid
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,3,2024-11-22,3,False,12.18,5.18,3.04,1.2,0.28,26.47,0.4312,0.385,0.8029,38483,0.0596,6,0.5569,410201.17,0.0028426789304355784,mid
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,4,2024-11-28,5,False,13.44,5.5,3.21,1.49,0.78,26.48,0.3715,0.4001,0.818,45870,0.0408,6,0.5726,368814.42,0.002555870983456157,mid
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,5,2024-12-05,6,False,11.39,4.88,2.79,0.97,0.0,24.69,0.4098,0.3715,0.847,45067,0.0421,6,0.5239,486224.1,0.003369513738113409,mid
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,6,2024-12-10,9,False,10.48,4.88,2.64,1.23,0.45,19.66,0.3892,0.3229,0.7711,24409,0.0628,6,0.4719,448570.19,0.0031085741711542273,mid
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,7,2024-12-17,9,True,10.07,5.27,2.74,1.09,0.17,20.92,0.3994,0.3511,0.8495,132836,0.0629,6,0.4904,403835.73,0.0027985667742981535,mid
355ca17e-1522-ad18-1dc4-da104d55b05e,Noah Rhodes,Purdue,Big Ten,2,PG,SO,8,2024-12-24,12,False,10.32,4.14,2.54,1.34,0.25,25.36,0.4307,0.393,0.8208,14355,0.06,6,0.5071,528403.46,0.0036618144296754677,mid
